forecast_origin,pickup_hour,pickup_zone_name,lead_hour,baseline_forecast,improved_forecast
2026-04-01,2026-04-01 22:00:00,Upper East Side North,23,122.23076923076923,99.99939632573252
2026-04-01,2026-04-01 22:00:00,Penn Station/Madison Sq West,23,217.80769230769232,212.3440037661333
2026-04-01,2026-04-01 22:00:00,Midtown East,23,245.98076923076923,193.47190843829742
2026-04-01,2026-04-01 22:00:00,Times Sq/Theatre District,23,436.86538461538464,460.2187399668274
2026-04-01,2026-04-01 22:00:00,Lincoln Square East,23,328.4807692307692,282.3414684707764
2026-04-01,2026-04-01 22:00:00,LaGuardia Airport,23,190.90384615384616,148.15230054024397
2026-04-01,2026-04-01 22:00:00,Murray Hill,23,191.01923076923077,170.73094074146334
2026-04-01,2026-04-01 23:00:00,Upper East Side South,24,128.3653846153846,113.29234574610439
2026-04-01,2026-04-01 23:00:00,JFK Airport,24,286.36538461538464,297.25147097879295
2026-04-01,2026-04-01 23:00:00,Midtown Center,24,232.40384615384616,207.3630569129486
2026-04-01,2026-04-01 23:00:00,Upper East Side North,24,51.42307692307692,39.72564006376928
2026-04-01,2026-04-01 23:00:00,Penn Station/Madison Sq West,24,163.48076923076923,151.36369250403285
2026-04-01,2026-04-01 23:00:00,Midtown East,24,120.0576923076923,107.22400814987503
2026-04-01,2026-04-01 23:00:00,Times Sq/Theatre District,24,245.34615384615384,235.16961173605708
2026-04-01,2026-04-01 23:00:00,Lincoln Square East,24,187.92307692307693,243.11694888973756
2026-04-01,2026-04-01 23:00:00,LaGuardia Airport,24,204.80769230769232,148.00694437868364
2026-04-01,2026-04-01 23:00:00,Murray Hill,24,109.46153846153847,114.63673774070115
2026-04-01,2026-04-02 00:00:00,Upper East Side South,25,61.90384615384615,51.46172445800824
2026-04-01,2026-04-02 00:00:00,JFK Airport,25,209.82692307692307,200.26930022598296
2026-04-01,2026-04-02 00:00:00,Midtown Center,25,98.9423076923077,88.98070114324669
2026-04-01,2026-04-02 00:00:00,Upper East Side North,25,21.76923076923077,14.44545962157645
2026-04-01,2026-04-02 00:00:00,Penn Station/Madison Sq West,25,93.0576923076923,105.71953364145203
2026-04-01,2026-04-02 00:00:00,Midtown East,25,62.51923076923077,53.29300559152538
2026-04-01,2026-04-02 00:00:00,Times Sq/Theatre District,25,113.21153846153847,117.4747286968842
2026-04-01,2026-04-02 00:00:00,Lincoln Square East,25,51.94230769230769,103.44121500420897
2026-04-01,2026-04-02 00:00:00,LaGuardia Airport,25,111.65384615384616,113.24765429021922
2026-04-01,2026-04-02 00:00:00,Murray Hill,25,59.34615384615385,49.191069397800604
2026-04-01,2026-04-02 01:00:00,Upper East Side South,26,29.48076923076923,17.485218985792237
2026-04-01,2026-04-02 01:00:00,JFK Airport,26,106.76923076923077,111.36294706918142
2026-04-01,2026-04-02 01:00:00,Midtown Center,26,38.38461538461539,34.06521898490989
2026-04-01,2026-04-02 01:00:00,Upper East Side North,26,10.576923076923077,8.765578756683087
2026-04-01,2026-04-02 01:00:00,Penn Station/Madison Sq West,26,38.34615384615385,55.13998620129519
2026-04-01,2026-04-02 01:00:00,Midtown East,26,25.942307692307693,22.822812143233993
2026-04-01,2026-04-02 01:00:00,Times Sq/Theatre District,26,47.09615384615385,46.29900987992153
2026-04-01,2026-04-02 01:00:00,Lincoln Square East,26,22.942307692307693,26.51842212336491
2026-04-01,2026-04-02 01:00:00,LaGuardia Airport,26,27.192307692307693,51.95968880812803
2026-04-01,2026-04-02 01:00:00,Murray Hill,26,28.596153846153847,19.72866281946722
2026-04-01,2026-04-02 02:00:00,Upper East Side South,27,10.192307692307692,10.034593495563447
2026-04-01,2026-04-02 02:00:00,JFK Airport,27,32.96153846153846,40.011424671902105
2026-04-01,2026-04-02 02:00:00,Midtown Center,27,14.942307692307692,11.811074342385814
2026-04-01,2026-04-02 02:00:00,Upper East Side North,27,4.1923076923076925,5.744187989305423
2026-04-01,2026-04-02 02:00:00,Penn Station/Madison Sq West,27,20.096153846153847,16.714120991408368
2026-04-01,2026-04-02 02:00:00,Midtown East,27,12.538461538461538,10.584638035111542
2026-04-01,2026-04-02 02:00:00,Times Sq/Theatre District,27,24.78846153846154,22.01716926969242
2026-04-01,2026-04-02 02:00:00,Lincoln Square East,27,8.403846153846153,9.872867992870216
2026-04-01,2026-04-02 02:00:00,LaGuardia Airport,27,10.903846153846153,11.069343105067546
